,Report Time,Time,Home Team,Away Team,Home Max,Away Max,Margin,Max Home Operator,Max Away Operator
0,2020-01-29 17:15,02:00,Indiana Pacers,Chicago Bulls,1.3,4.75,2.0242914979757165,TOPsport HW,Unibet AW
1,2020-01-29 17:15,02:30,Brooklyn Nets,Detroit Pistons,1.39,3.3,-2.2454763461957796,Cbet HW,Unibet AW
2,2020-01-29 17:15,02:30,New York Knicks,Memphis Grizzlies,2.2,1.76,-2.272727272727282,Cbet HW,TOPsport AW
3,2020-01-29 17:15,03:30,San Antonio Spurs,Utah Jazz,2.92,1.49,-1.3606693021973038,TOPsport HW,Cbet AW
4,2020-01-29 17:15,05:00,Sacramento Kings,Oklahoma City Thunder,2.42,1.67,-1.202553570544862,TOPsport HW,Betsafe AW
5,2020-01-29 17:15,05:00,Portland Trail Blazers,Houston Rockets,2.1,1.85,-1.6731016731016624,Cbet HW,TOPsport AW
0,2020-01-30 10:44,02:00,Cleveland Cavaliers,Toronto Raptors,5.27,1.2,-2.3086654016445274,TOPsport HW,Unibet AW
1,2020-01-30 10:44,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 10:44,02:30,Atlanta Hawks,Philadelphia 76ers,3.85,1.32,-1.7316017316017285,Unibet HW,TOPsport AW
3,2020-01-30 10:44,03:00,Boston Celtics,Golden State Warriors,1.16,6.5,-1.5915119363395291,TOPsport HW,Unibet AW
4,2020-01-30 10:44,05:30,Los Angeles Clippers,Sacramento Kings,1.16,6.81,-0.89118436376526,TOPsport HW,Optibet AW
5,2020-01-30 10:44,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 10:51,02:00,Cleveland Cavaliers,Toronto Raptors,5.27,1.2,-2.3086654016445274,TOPsport HW,Unibet AW
1,2020-01-30 10:51,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 10:51,02:30,Atlanta Hawks,Philadelphia 76ers,3.85,1.32,-1.7316017316017285,Unibet HW,TOPsport AW
3,2020-01-30 10:51,03:00,Boston Celtics,Golden State Warriors,1.16,7.5,0.4597701149425232,TOPsport HW,Olybet AW
4,2020-01-30 10:51,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.5,0.4597701149425232,TOPsport HW,Olybet AW
5,2020-01-30 10:51,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 14:07,02:00,Cleveland Cavaliers,Toronto Raptors,5.31,1.2,-2.1657250470809797,Optibet HW,Unibet AW
1,2020-01-30 14:07,02:00,Washington Wizards,Charlotte Hornets,1.59,2.52,-2.575621443545967,TOPsport HW,Betsafe AW
2,2020-01-30 14:07,02:30,Atlanta Hawks,Philadelphia 76ers,3.85,1.32,-1.7316017316017285,Unibet HW,TOPsport AW
3,2020-01-30 14:07,03:00,Boston Celtics,Golden State Warriors,1.16,7.68,0.7722701149425221,TOPsport HW,Optibet AW
4,2020-01-30 14:07,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.01,-0.47223178710217584,TOPsport HW,Optibet AW
5,2020-01-30 14:07,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 14:13,02:00,Cleveland Cavaliers,Toronto Raptors,5.31,1.2,-2.1657250470809797,Optibet HW,Unibet AW
1,2020-01-30 14:13,02:00,Washington Wizards,Charlotte Hornets,1.59,2.52,-2.575621443545967,TOPsport HW,Betsafe AW
2,2020-01-30 14:13,02:30,Atlanta Hawks,Philadelphia 76ers,3.85,1.32,-1.7316017316017285,Unibet HW,TOPsport AW
3,2020-01-30 14:13,03:00,Boston Celtics,Golden State Warriors,1.16,7.68,0.7722701149425221,TOPsport HW,Optibet AW
4,2020-01-30 14:13,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.01,-0.47223178710217584,TOPsport HW,Optibet AW
5,2020-01-30 14:13,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 14:28,02:00,Cleveland Cavaliers,Toronto Raptors,5.31,1.19,-2.866005159125795,Optibet HW,TOPsport AW
1,2020-01-30 14:28,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 14:28,02:30,Atlanta Hawks,Philadelphia 76ers,3.75,1.32,-2.4242424242424176,Cbet HW,TOPsport AW
3,2020-01-30 14:28,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 14:28,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.01,-0.47223178710217584,TOPsport HW,Optibet AW
5,2020-01-30 14:28,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 14:40,02:00,Cleveland Cavaliers,Toronto Raptors,5.31,1.19,-2.866005159125795,Optibet HW,TOPsport AW
1,2020-01-30 14:40,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 14:40,02:30,Atlanta Hawks,Philadelphia 76ers,3.75,1.32,-2.4242424242424176,Cbet HW,TOPsport AW
3,2020-01-30 14:40,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 14:40,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.01,-0.47223178710217584,TOPsport HW,Optibet AW
5,2020-01-30 14:40,05:30,Denver Nuggets,Utah Jazz,1.84,2.07,-2.657004830917875,TOPsport HW,Olybet AW
0,2020-01-30 14:48,02:00,Cleveland Cavaliers,Toronto Raptors,5.31,1.19,-2.866005159125795,Optibet HW,TOPsport AW
1,2020-01-30 14:48,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Betsafe AW
2,2020-01-30 14:48,02:30,Atlanta Hawks,Philadelphia 76ers,3.75,1.32,-2.4242424242424176,Cbet HW,TOPsport AW
3,2020-01-30 14:48,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 14:48,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.01,-0.47223178710217584,TOPsport HW,Optibet AW
5,2020-01-30 14:48,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 14:56,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 14:56,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 14:56,02:30,Atlanta Hawks,Philadelphia 76ers,3.75,1.32,-2.4242424242424176,Cbet HW,TOPsport AW
3,2020-01-30 14:56,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 14:56,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.0,-0.4926108374384286,TOPsport HW,Cbet AW
5,2020-01-30 14:56,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 15:08,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 15:08,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 15:08,02:30,Atlanta Hawks,Philadelphia 76ers,3.75,1.32,-2.4242424242424176,Cbet HW,TOPsport AW
3,2020-01-30 15:08,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:08,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 15:08,05:30,Denver Nuggets,Utah Jazz,1.84,2.07,-2.657004830917875,TOPsport HW,Olybet AW
0,2020-01-30 15:16,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 15:16,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 15:16,02:30,Atlanta Hawks,Philadelphia 76ers,3.75,1.32,-2.4242424242424176,Cbet HW,TOPsport AW
3,2020-01-30 15:16,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:16,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 15:16,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 15:24,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 15:24,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 15:24,02:30,Atlanta Hawks,Philadelphia 76ers,3.75,1.32,-2.4242424242424176,Cbet HW,TOPsport AW
3,2020-01-30 15:24,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:24,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 15:24,05:30,Denver Nuggets,Utah Jazz,1.84,2.07,-2.657004830917875,TOPsport HW,Olybet AW
0,2020-01-30 15:32,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 15:32,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 15:32,02:30,Atlanta Hawks,Philadelphia 76ers,3.75,1.32,-2.4242424242424176,Cbet HW,TOPsport AW
3,2020-01-30 15:32,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:32,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.35,0.1876612714051068,TOPsport HW,Optibet AW
5,2020-01-30 15:32,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 15:40,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 15:40,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 15:40,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.34,-1.8007787151200438,TOPsport HW,Cbet AW
3,2020-01-30 15:40,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:40,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 15:40,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 15:48,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 15:48,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 15:48,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.34,-1.8007787151200438,TOPsport HW,Cbet AW
3,2020-01-30 15:48,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:48,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 15:48,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 16:13,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:13,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 16:13,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.35,-1.2479871175523294,TOPsport HW,Cbet AW
3,2020-01-30 16:13,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Olybet AW
4,2020-01-30 16:13,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 16:13,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Betsafe AW
0,2020-01-30 16:14,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:14,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 16:14,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.35,-1.2479871175523294,TOPsport HW,Cbet AW
3,2020-01-30 16:14,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 16:14,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 16:14,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Betsafe AW
0,2020-01-30 16:16,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:16,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 16:16,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.35,-1.2479871175523294,TOPsport HW,Cbet AW
3,2020-01-30 16:16,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Olybet AW
4,2020-01-30 16:16,05:30,Los Angeles Clippers,Sacramento Kings,1.16,8.5,2.028397565922915,TOPsport HW,Olybet AW
5,2020-01-30 16:16,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Cbet AW
0,2020-01-30 16:24,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:24,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 16:24,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.35,-1.2479871175523294,TOPsport HW,Cbet AW
3,2020-01-30 16:24,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 16:24,05:30,Los Angeles Clippers,Sacramento Kings,1.16,9.5,3.2667876588021727,TOPsport HW,Unibet AW
5,2020-01-30 16:24,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Cbet AW
0,2020-01-30 16:32,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:32,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 16:32,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.35,-1.2479871175523294,TOPsport HW,Cbet AW
3,2020-01-30 16:32,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 16:32,05:30,Los Angeles Clippers,Sacramento Kings,1.16,9.5,3.2667876588021727,TOPsport HW,Unibet AW
5,2020-01-30 16:32,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Cbet AW
0,2020-01-30 16:48,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:48,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 16:48,02:30,Atlanta Hawks,Philadelphia 76ers,3.55,1.35,-2.243088158581119,Unibet HW,TOPsport AW
3,2020-01-30 16:48,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 16:48,05:30,Los Angeles Clippers,Sacramento Kings,1.16,9.5,3.2667876588021727,TOPsport HW,Unibet AW
5,2020-01-30 16:48,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Cbet AW
0,2020-01-30 16:56,02:00,Cleveland Cavaliers,Toronto Raptors,5.46,1.19,-2.348631760396469,Optibet HW,TOPsport AW
1,2020-01-30 16:56,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 16:56,02:30,Atlanta Hawks,Philadelphia 76ers,3.55,1.35,-2.243088158581119,Unibet HW,TOPsport AW
3,2020-01-30 16:56,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 16:56,05:30,Los Angeles Clippers,Sacramento Kings,1.16,9.5,3.2667876588021727,TOPsport HW,Unibet AW
5,2020-01-30 16:56,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Cbet AW
0,2020-01-30 17:40,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 17:40,02:00,Washington Wizards,Charlotte Hornets,1.59,2.52,-2.575621443545967,TOPsport HW,Betsafe AW
2,2020-01-30 17:40,02:30,Atlanta Hawks,Philadelphia 76ers,3.45,1.35,-3.059581320450877,Cbet HW,TOPsport AW
3,2020-01-30 17:40,03:00,Boston Celtics,Golden State Warriors,1.12,7.81,-2.0898115968538438,TOPsport HW,Optibet AW
4,2020-01-30 17:40,05:30,Los Angeles Clippers,Sacramento Kings,1.16,8.83,2.468075135705075,TOPsport HW,Optibet AW
5,2020-01-30 17:40,05:30,Denver Nuggets,Utah Jazz,1.85,2.06,-2.597743374442396,Cbet HW,TOPsport AW
0,2020-01-30 17:48,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 17:48,02:00,Washington Wizards,Charlotte Hornets,1.59,2.52,-2.575621443545967,TOPsport HW,Betsafe AW
2,2020-01-30 17:48,02:30,Atlanta Hawks,Philadelphia 76ers,3.45,1.35,-3.059581320450877,Cbet HW,TOPsport AW
3,2020-01-30 17:48,03:00,Boston Celtics,Golden State Warriors,1.12,7.81,-2.0898115968538438,TOPsport HW,Optibet AW
4,2020-01-30 17:48,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 17:48,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 17:56,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 17:56,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 17:56,02:30,Atlanta Hawks,Philadelphia 76ers,3.45,1.35,-3.059581320450877,Cbet HW,TOPsport AW
3,2020-01-30 17:56,03:00,Boston Celtics,Golden State Warriors,1.12,7.81,-2.0898115968538438,TOPsport HW,Optibet AW
4,2020-01-30 17:56,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 17:56,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 18:00,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 18:00,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 18:00,02:30,Atlanta Hawks,Philadelphia 76ers,3.45,1.35,-3.059581320450877,Cbet HW,TOPsport AW
3,2020-01-30 18:00,03:00,Boston Celtics,Golden State Warriors,1.12,7.81,-2.0898115968538438,TOPsport HW,Optibet AW
4,2020-01-30 18:00,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 18:00,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 18:08,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 18:08,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 18:08,02:30,Atlanta Hawks,Philadelphia 76ers,3.35,1.35,-3.9248203427307837,TOPsport HW,TOPsport AW
3,2020-01-30 18:08,03:00,Boston Celtics,Golden State Warriors,1.12,7.81,-2.0898115968538438,TOPsport HW,Optibet AW
4,2020-01-30 18:08,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 18:08,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 18:16,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 18:16,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 18:16,02:30,Atlanta Hawks,Philadelphia 76ers,3.35,1.37,-2.8434469985837207,TOPsport HW,Cbet AW
3,2020-01-30 18:16,03:00,Boston Celtics,Golden State Warriors,1.12,7.87,-1.9921945906698073,TOPsport HW,Optibet AW
4,2020-01-30 18:16,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 18:16,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 18:24,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 18:24,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 18:24,02:30,Atlanta Hawks,Philadelphia 76ers,3.35,1.37,-2.8434469985837207,TOPsport HW,Cbet AW
3,2020-01-30 18:24,03:00,Boston Celtics,Golden State Warriors,1.12,7.82,-2.0734380708805205,TOPsport HW,Optibet AW
4,2020-01-30 18:24,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 18:24,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 20:08,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 20:08,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 20:08,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
3,2020-01-30 20:08,03:00,Boston Celtics,Golden State Warriors,1.12,8.55,-0.9816207184628167,TOPsport HW,Cbet AW
4,2020-01-30 20:08,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 20:08,05:30,Denver Nuggets,Utah Jazz,1.92,2.06,-0.6270226537216872,Betsafe HW,TOPsport AW
0,2020-01-30 20:16,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 20:16,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 20:16,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
